Area,City,Size (sq ft),Price ($)
Uptown,CityB,2866,398510
Countryside,CityE,3391,546171
Countryside,CityB,2472,199830
Seaside,CityE,1284,861573
Seaside,CityA,4992,928343
Downtown,CityB,1581,445566
Suburb,CityB,2533,677907
Seaside,CityD,2114,909223
Countryside,CityE,2916,370445
Uptown,CityE,4153,226866
Countryside,CityB,996,331730
Suburb,CityA,1004,203623
Countryside,CityA,3886,591745
Downtown,CityA,2708,474968
Suburb,CityE,3716,661182
Uptown,CityD,4166,592133
Downtown,CityB,1908,966050
Suburb,CityC,4864,957426
Uptown,CityD,4577,141770
Downtown,CityC,1977,646588
Downtown,CityD,2897,742313
Suburb,CityA,609,299307
Seaside,CityE,4054,522701
Downtown,CityC,1149,140285
Downtown,CityD,1999,821915
Uptown,CityE,1095,217713
Countryside,CityC,1478,787831
Suburb,CityB,1230,672959
Suburb,CityD,556,480360
Seaside,CityB,2743,906702
Seaside,CityA,2201,744158
Suburb,CityB,1786,227897
Seaside,CityB,611,506914
Uptown,CityD,1701,869814
Suburb,CityA,1447,859242
Seaside,CityB,4621,958697
Suburb,CityE,1257,795089
Countryside,CityC,3888,111171
Downtown,CityB,2341,572699
Suburb,CityA,4035,947116
Downtown,CityB,2793,548381
Seaside,CityC,1604,149948
Downtown,CityA,1161,659013
Suburb,CityD,1408,381594
Countryside,CityA,2356,506516
Seaside,CityD,2811,184600
Suburb,CityA,1289,235513
Seaside,CityC,671,211315
Uptown,CityC,4860,644403
Downtown,CityA,2486,723693
Uptown,CityB,2385,711692
Suburb,CityC,975,535213
Countryside,CityD,1549,841511
Seaside,CityD,4629,768975
Downtown,CityE,2811,770092
Seaside,CityD,1661,734958
Suburb,CityE,1315,142738
Seaside,CityA,4266,866656
Downtown,CityA,3422,232053
Suburb,CityA,1253,293953
Seaside,CityB,961,289681
Countryside,CityB,3739,580306
Suburb,CityE,3202,443810
Suburb,CityD,580,970783
Countryside,CityD,3304,585081
Uptown,CityA,1369,827245
Downtown,CityC,1306,611801
Uptown,CityB,2434,110728
Seaside,CityB,1203,992284
Countryside,CityA,3023,970343
Uptown,CityB,3139,217616
Suburb,CityA,4409,318422
Seaside,CityE,1664,922646
Seaside,CityD,1119,289007
Uptown,CityC,3566,842441
Uptown,CityD,946,407732
Countryside,CityD,2837,250025
Downtown,CityE,708,954840
Uptown,CityB,2960,396247
Uptown,CityC,3942,170949
Suburb,CityB,3211,325877
Seaside,CityD,2837,775516
Downtown,CityA,1791,113423
Suburb,CityD,2698,400206
Countryside,CityB,1900,798165
Countryside,CityD,3155,888419
Uptown,CityA,4512,162979
Uptown,CityE,1204,924029
Countryside,CityB,1325,183905
Uptown,CityD,1504,783228
Downtown,CityB,3960,176970
Uptown,CityE,876,163805
Seaside,CityD,1472,219779
Uptown,CityD,4713,573300
Suburb,CityB,3576,509852
Downtown,CityB,943,681755
Suburb,CityA,1254,591135
Suburb,CityE,4104,732020
Seaside,CityA,2671,248079
Downtown,CityD,3205,463604
Downtown,CityB,3965,588963
Downtown,CityD,3211,832224
Downtown,CityD,2907,496605
Downtown,CityC,1122,218105
Seaside,CityC,2223,224535
Uptown,CityD,3822,371602
Suburb,CityB,2419,692769
Downtown,CityD,1418,699176
Uptown,CityC,4715,700310
Uptown,CityB,1081,272472
Suburb,CityD,4381,691916
Seaside,CityE,2186,807217
Countryside,CityE,4409,267599
Countryside,CityD,2499,694936
Uptown,CityB,3211,903369
Suburb,CityD,900,793032
Countryside,CityD,4148,866922
Uptown,CityC,3128,625400
Seaside,CityE,2156,590492
Countryside,CityC,1120,582233
Uptown,CityC,746,934787
Uptown,CityD,3839,175561
Downtown,CityC,3510,265154
Seaside,CityE,2868,742469
Downtown,CityC,4494,684770
Suburb,CityE,2339,703386
Downtown,CityC,3403,504520
Downtown,CityE,4895,156625
Countryside,CityC,4998,486503
Uptown,CityC,4191,433390
Seaside,CityB,4341,374732
Downtown,CityE,4848,228658
Seaside,CityE,1892,645255
Downtown,CityE,4250,492297
Suburb,CityA,4755,386400
Downtown,CityC,3508,813708
Countryside,CityE,4800,836332
Uptown,CityA,3838,842711
Suburb,CityB,4014,813839
Downtown,CityE,1259,967164
Seaside,CityE,3268,553416
Suburb,CityA,3588,838985
Suburb,CityC,2615,576356
Downtown,CityB,4728,754433
Suburb,CityE,2223,495722
Seaside,CityC,3466,198120
Suburb,CityB,929,776069
Seaside,CityD,2855,813895
Downtown,CityD,2959,406984
Uptown,CityB,4692,345512
Suburb,CityA,2218,999079
Uptown,CityB,1765,291659
Seaside,CityB,1808,159321
Suburb,CityA,1550,334855
Countryside,CityA,3973,143202
Uptown,CityC,2749,287660
Suburb,CityC,3309,758450
Uptown,CityA,3421,598017
Suburb,CityD,4541,421375
Downtown,CityD,2917,907984
Uptown,CityB,1032,325743
Countryside,CityE,1398,311299
Countryside,CityB,3154,383805
Seaside,CityB,1969,272097
Suburb,CityE,3420,499308
Uptown,CityA,1752,755930
Seaside,CityD,1269,952275
Uptown,CityB,1333,553968
Suburb,CityE,2709,431422
Countryside,CityC,3924,862638
Downtown,CityB,1591,194328
Countryside,CityD,1696,750643
Seaside,CityA,4414,338340
Downtown,CityB,2160,386342
Seaside,CityB,760,161201
Suburb,CityE,2764,435415
Downtown,CityC,1685,312810
Seaside,CityC,2949,504593
Suburb,CityA,4033,473722
Countryside,CityD,4870,835193
Suburb,CityA,4801,501252
Uptown,CityB,3844,402508
Suburb,CityB,1366,583121
Suburb,CityC,592,200353
Uptown,CityD,3678,873331
Seaside,CityE,1851,792803
Seaside,CityD,864,494879
Suburb,CityB,4218,270316
Uptown,CityE,2424,963996
Uptown,CityD,3595,246149
Countryside,CityD,3038,813209
Seaside,CityE,1796,729735
Downtown,CityB,2776,381775
Seaside,CityD,502,808012
Seaside,CityE,3992,560662
Countryside,CityB,2253,919932
Downtown,CityE,1410,513113
Countryside,CityE,806,421059
Downtown,CityD,4731,989192
Suburb,CityB,4515,389041
Downtown,CityD,1938,802640
Countryside,CityA,1372,725927
Seaside,CityA,1641,211118
Downtown,CityB,1165,419464
Downtown,CityE,708,827952
Uptown,CityD,1451,587702
Seaside,CityD,1557,954721
Suburb,CityB,4508,656229
Countryside,CityB,2368,855036
Suburb,CityA,1271,245306
Seaside,CityC,4530,699460
Downtown,CityB,1021,103376
Downtown,CityC,3855,392927
Seaside,CityB,1900,534465
Downtown,CityE,4238,405169
Downtown,CityE,4843,640735
Downtown,CityA,4223,316937
Countryside,CityA,3747,641001
Countryside,CityC,2358,891290
Uptown,CityB,4564,806475
Suburb,CityD,2898,159834
Seaside,CityA,642,706348
Seaside,CityD,3351,867283
Seaside,CityD,3969,557199
Uptown,CityB,4195,512073
Countryside,CityC,1217,990330
Uptown,CityB,1142,988639
Seaside,CityA,3940,297057
Suburb,CityD,3048,552385
Downtown,CityB,4193,186366
Countryside,CityB,869,252150
Countryside,CityB,4150,887301
Uptown,CityA,1286,424768
Countryside,CityC,1449,271147
Seaside,CityB,1021,193676
Seaside,CityA,3443,627947
Uptown,CityD,854,529586
Seaside,CityE,2835,993320
Suburb,CityA,1982,682473
Uptown,CityE,2147,741424
Suburb,CityB,3545,573137
Downtown,CityB,2715,274823
Suburb,CityA,927,949190
Downtown,CityE,3037,840233
Downtown,CityB,1044,236203
Suburb,CityD,3264,232430
Uptown,CityC,4265,617086
Seaside,CityC,1158,715438
Seaside,CityB,3327,550587
Downtown,CityE,2558,837667
Downtown,CityB,3827,572355
Uptown,CityE,1230,379360
Countryside,CityD,2332,927641
Suburb,CityE,908,405131
Downtown,CityB,4679,732312
Seaside,CityD,3747,609742
Uptown,CityA,633,666608
Suburb,CityC,1166,373445
Uptown,CityB,776,306123
Suburb,CityB,3807,323410
Suburb,CityB,1381,226560
Downtown,CityD,2560,363035
Uptown,CityA,2582,412601
Uptown,CityE,1737,737677
Seaside,CityA,2952,547651
Seaside,CityD,658,383076
Downtown,CityB,3096,366336
Downtown,CityC,4315,902560
Countryside,CityB,4874,122836
Seaside,CityE,3026,386981
Suburb,CityC,610,741316
Uptown,CityB,1041,225172
Downtown,CityC,1638,384922
Uptown,CityA,3783,143130
Uptown,CityD,4110,378852
Countryside,CityB,4955,469625
Seaside,CityE,4057,255304
Downtown,CityA,2919,288338
Uptown,CityB,2256,629070
Downtown,CityA,3586,554412
Suburb,CityE,2806,781675
Countryside,CityB,1475,372196
Suburb,CityE,1222,905953
Downtown,CityC,3070,824794
Downtown,CityE,824,313827
Seaside,CityC,2029,431834
Uptown,CityB,2445,659834
Uptown,CityC,4986,834705
Suburb,CityB,2930,257044
Countryside,CityB,4611,729001
Uptown,CityD,4010,355628
Seaside,CityB,1345,726905
Suburb,CityC,1067,122030
Suburb,CityD,4188,617933
Seaside,CityD,2679,841001
Countryside,CityB,2519,189831
Seaside,CityE,3819,177400
Countryside,CityE,2820,380199
Seaside,CityD,2146,592436
Seaside,CityB,4503,842868
Downtown,CityE,4409,699149
Suburb,CityB,3920,478668
Seaside,CityB,3031,478970
Seaside,CityD,856,923207
Uptown,CityD,3581,448053
Suburb,CityA,2780,922685
Uptown,CityE,4631,317789
Suburb,CityE,2960,356072
Uptown,CityE,3287,676172
Seaside,CityC,4709,176497
Seaside,CityB,1697,904137
Downtown,CityD,1778,275748
Uptown,CityE,965,332730
Countryside,CityA,4500,453784
Downtown,CityE,3848,310117
Uptown,CityB,1987,107101
Uptown,CityB,825,424639
Downtown,CityD,2265,497959
Seaside,CityC,4662,633239
Uptown,CityD,803,762374
Seaside,CityE,1940,660468
Downtown,CityA,648,943409
Seaside,CityD,3534,347117
Suburb,CityC,3131,290606
Countryside,CityD,595,687497
Uptown,CityB,3955,873529
Countryside,CityE,4877,797268
Seaside,CityE,2869,622283
Uptown,CityE,3967,470719
Seaside,CityE,1028,937350
Suburb,CityE,2810,238235
Downtown,CityE,2163,233542
Uptown,CityA,3864,509759
Suburb,CityC,2841,250348
Suburb,CityE,1192,220014
Uptown,CityC,4830,792241
Seaside,CityE,1451,441094
Suburb,CityD,1860,107749
Countryside,CityE,1038,910614
Suburb,CityB,1319,439594
Seaside,CityA,3662,704831
Seaside,CityD,4425,720775
Countryside,CityD,771,472371
Suburb,CityB,1528,329216
Seaside,CityE,4165,618567
Uptown,CityA,1742,514599
Downtown,CityD,1641,965010
Downtown,CityA,1092,740546
Downtown,CityD,2105,780772
Suburb,CityE,4710,113181
Countryside,CityD,3877,144898
Seaside,CityD,4571,889837
Uptown,CityC,4802,589620
Uptown,CityE,4194,373006
Suburb,CityB,2850,285751
Downtown,CityB,4707,390832
Suburb,CityE,1940,672305
Countryside,CityB,4126,589697
Countryside,CityE,2382,375083
Seaside,CityB,4211,867631
Seaside,CityC,684,466296
Countryside,CityB,720,401729
Countryside,CityD,3688,478459
Countryside,CityE,1593,204447
Suburb,CityA,3445,868173
Countryside,CityA,2974,339434
Uptown,CityE,3115,778302
Downtown,CityC,2512,341147
Countryside,CityB,2990,498488
Downtown,CityC,1100,537350
Suburb,CityA,1660,255337
Downtown,CityE,4813,354743
Suburb,CityE,3235,803552
Uptown,CityC,2718,784028
Suburb,CityC,1652,604948
Suburb,CityB,556,705848
Seaside,CityD,1704,459579
Countryside,CityD,4841,693571
Countryside,CityB,643,109297
Uptown,CityD,867,164005
Uptown,CityA,1982,289506
Countryside,CityD,1115,494823
Seaside,CityB,4138,754942
Countryside,CityD,3828,290255
Seaside,CityE,3727,711282
Uptown,CityC,2088,156305
Downtown,CityA,2989,783333
Uptown,CityE,3503,313058
Uptown,CityE,1198,836431
Suburb,CityB,3323,325963
Suburb,CityC,1444,894077
Suburb,CityC,4381,928670
Suburb,CityA,1422,693982
Seaside,CityB,2246,797133
Countryside,CityA,4620,378930
Downtown,CityD,3353,140693
Uptown,CityE,2059,982879
Seaside,CityA,1583,519794
Downtown,CityE,4038,693990
Seaside,CityB,933,446989
Seaside,CityD,3426,901508
Uptown,CityB,1589,905809
Countryside,CityD,3457,764638
Suburb,CityD,3112,558024
Countryside,CityE,4691,620436
Uptown,CityB,4259,489512
Uptown,CityB,4763,657827
Uptown,CityA,2589,750840
Downtown,CityB,2402,242512
Countryside,CityA,3067,388389
Countryside,CityC,2498,829063
Seaside,CityC,3614,953524
Seaside,CityC,3494,471598
Seaside,CityB,2510,777058
Uptown,CityB,2391,772961
Countryside,CityA,1330,257879
Uptown,CityD,548,800662
Downtown,CityA,4710,316936
Seaside,CityC,1678,763399
Uptown,CityA,3533,609946
Uptown,CityD,570,409571
Downtown,CityB,566,958271
Suburb,CityA,2277,813409
Countryside,CityC,2728,512269
Suburb,CityC,2289,328252
Seaside,CityB,1112,478945
Uptown,CityA,2386,997277
Downtown,CityD,2122,972730
Downtown,CityB,1196,189147
Countryside,CityA,1737,679701
Suburb,CityE,2906,690246
Countryside,CityC,748,655563
Uptown,CityD,1137,126597
Countryside,CityD,1449,439665
Downtown,CityD,2404,718531
Downtown,CityC,4087,878770
Seaside,CityA,1611,168908
Seaside,CityB,675,417332
Uptown,CityA,1222,396854
Suburb,CityB,4342,322424
Countryside,CityD,4174,568702
Uptown,CityA,2447,804410
Seaside,CityD,1202,935681
Countryside,CityE,2628,658535
Seaside,CityD,1426,563378
Countryside,CityD,4733,912840
Suburb,CityB,4004,176313
Uptown,CityE,3017,826043
Countryside,CityD,2897,349407
Downtown,CityD,1649,367587
Downtown,CityE,3880,755439
Countryside,CityE,2378,983250
Countryside,CityA,1753,531561
Countryside,CityB,1983,243973
Downtown,CityE,809,298831
Downtown,CityE,4452,273804
Countryside,CityC,3549,834664
Seaside,CityE,2064,350278
Seaside,CityB,2000,248579
Suburb,CityD,515,884370
Uptown,CityD,1105,443929
Seaside,CityD,1881,226691
Downtown,CityD,3883,357426
Seaside,CityC,1394,397535
Suburb,CityE,2067,658459
Suburb,CityD,913,544946
Uptown,CityA,4620,893917
Seaside,CityD,2504,996536
Downtown,CityE,815,326392
Downtown,CityD,3555,621819
Countryside,CityC,2349,342174
Downtown,CityB,2453,190153
Uptown,CityB,888,137748
Uptown,CityE,3269,233021
Downtown,CityB,3546,316452
Downtown,CityB,2915,347888
Countryside,CityA,2889,514097
Downtown,CityE,803,282378
Countryside,CityE,1263,711438
Countryside,CityB,2473,189364
Downtown,CityB,1315,215925
Suburb,CityB,1377,109958
Suburb,CityC,2826,239769
Countryside,CityD,2929,187160
Downtown,CityC,2560,901925
Suburb,CityE,4898,273873
Downtown,CityA,2079,383343
Downtown,CityD,4755,886369
Downtown,CityA,2701,338962
Seaside,CityE,4097,527704
Downtown,CityE,1703,916925
Seaside,CityA,2924,735833
Countryside,CityA,4375,411146
Suburb,CityA,3323,123731
Suburb,CityE,3785,238148
Suburb,CityB,2563,887503
Suburb,CityA,2479,986358
Suburb,CityD,4848,752160
Suburb,CityE,3631,141410
Suburb,CityC,3592,854561
Countryside,CityC,4164,547543
Downtown,CityD,2836,981380
Uptown,CityB,4114,816432
Seaside,CityA,997,328443
Uptown,CityE,4317,141041
Uptown,CityA,631,485760
Downtown,CityE,1357,677614
Downtown,CityC,1020,531765
Downtown,CityA,529,939528
Suburb,CityD,3896,810938
Countryside,CityB,1760,539268
Suburb,CityD,2058,929599
Countryside,CityB,515,547803
Countryside,CityA,4105,947724
Uptown,CityA,2107,437563
Uptown,CityB,4017,797499
Countryside,CityC,2516,610839
Countryside,CityE,4074,974185
Suburb,CityD,2243,766067
Suburb,CityD,4291,861752
Uptown,CityD,4134,608365
Downtown,CityA,1588,111093
Countryside,CityD,1861,990521
Suburb,CityE,3872,172043
Uptown,CityE,4973,591338
Suburb,CityB,975,486678
Countryside,CityA,1789,499046
Countryside,CityE,828,261680
Seaside,CityC,4544,989297
Downtown,CityA,2339,486822
Seaside,CityA,1686,409431
Uptown,CityE,3914,583263
Suburb,CityC,4036,657715
Uptown,CityB,2273,619333
Countryside,CityE,2563,577258
Seaside,CityC,2344,783755
Seaside,CityA,3058,471983
Seaside,CityC,1762,979094
Uptown,CityA,3791,850362
Countryside,CityE,1518,904402
Suburb,CityE,2289,694506
Suburb,CityD,4024,307547
Uptown,CityD,4004,960794
Seaside,CityD,1306,778731
Downtown,CityE,3166,320967
Uptown,CityB,904,334625
Uptown,CityE,1093,774555
Countryside,CityC,4449,210949
Suburb,CityE,4607,226895
Uptown,CityE,3780,389459
Uptown,CityA,2712,875575
Seaside,CityA,2042,183804
Seaside,CityA,1113,830606
Downtown,CityE,1368,928013
Countryside,CityB,1311,800897
Downtown,CityC,2322,572913
Seaside,CityC,4677,721645
Suburb,CityB,2244,306337
Seaside,CityB,2756,738272
Countryside,CityC,4542,454593
Seaside,CityD,4167,351176
Countryside,CityA,1021,253256
Countryside,CityA,2025,257642
Countryside,CityC,1969,230522
Countryside,CityB,3175,405174
Countryside,CityD,2013,948677
Suburb,CityC,1951,810827
Downtown,CityA,3930,350690
Uptown,CityE,3507,659421
Downtown,CityB,3624,834091
Countryside,CityE,2253,668286
Suburb,CityC,2112,248310
Seaside,CityA,3775,836448
Suburb,CityD,1055,561480
Countryside,CityE,4751,477747
Suburb,CityD,2549,148245
Suburb,CityA,1324,385701
Countryside,CityE,3349,432618
Suburb,CityD,3530,327810
Uptown,CityD,1581,296739
Uptown,CityE,3825,977660
Suburb,CityA,992,886170
Seaside,CityD,574,316585
Countryside,CityC,3491,165074
Uptown,CityE,3860,158204
Seaside,CityB,870,853957
Suburb,CityB,828,323872
Seaside,CityA,2290,780935
Downtown,CityC,1276,573479
Uptown,CityD,2522,307096
Suburb,CityB,4816,779760
Countryside,CityA,1687,631134
Suburb,CityC,2003,533568
Countryside,CityC,3791,123694
Suburb,CityA,3825,383884
Seaside,CityA,687,655284
Seaside,CityD,1714,688162
Seaside,CityA,3786,197661
Downtown,CityD,3946,731233
Countryside,CityD,1609,815042
Seaside,CityE,3021,799560
Downtown,CityC,4379,122970
Countryside,CityC,1030,793431
Suburb,CityC,1570,807628
Downtown,CityE,3636,515474
Uptown,CityD,1462,713178
Downtown,CityD,1905,851537
Downtown,CityA,3637,157300
Countryside,CityE,1016,361387
Suburb,CityA,3664,161915
Uptown,CityE,1991,239516
Seaside,CityA,4189,699435
Seaside,CityB,4728,700352
Downtown,CityC,4909,166535
Countryside,CityC,1090,628048
Countryside,CityD,2043,792244
Seaside,CityB,3556,989147
Uptown,CityC,2706,580693
Suburb,CityD,3839,285576
Uptown,CityB,3208,230992
Suburb,CityC,4529,536346
Seaside,CityA,1247,274953
Suburb,CityE,1300,686687
Countryside,CityB,1997,529667
Downtown,CityD,1879,544629
Downtown,CityB,1179,847417
Seaside,CityD,4270,424422
Countryside,CityB,3842,737574
Uptown,CityD,1396,789981
Countryside,CityC,2046,852345
Downtown,CityA,3626,878839
Downtown,CityC,1183,768439
Countryside,CityA,1795,979947
Countryside,CityC,1885,152142
Downtown,CityC,1442,604455
Uptown,CityB,3780,489301
Seaside,CityE,1533,192930
Seaside,CityD,3286,197812
Countryside,CityD,2733,264702
Seaside,CityD,4145,694351
Downtown,CityA,2120,755278
Downtown,CityD,4035,374391
Countryside,CityD,3705,379747
Countryside,CityB,3382,202099
Countryside,CityC,670,800924
Uptown,CityD,2053,604254
Seaside,CityE,4397,886959
Countryside,CityD,2095,299530
Suburb,CityA,2123,367993
Suburb,CityA,4622,324388
Downtown,CityA,1591,936746
Seaside,CityD,3337,276796
Countryside,CityB,907,849036
Suburb,CityE,4669,379374
Seaside,CityD,1179,978661
Downtown,CityB,736,434639
Uptown,CityB,3274,463534
Seaside,CityD,3937,535946
Seaside,CityD,3857,716225
Uptown,CityB,3377,365467
Seaside,CityB,2923,493661
Downtown,CityB,3647,969377
Downtown,CityD,1532,765323
Uptown,CityB,3354,616656
Countryside,CityA,3440,770797
Suburb,CityD,4201,181947
Countryside,CityA,4570,616655
Seaside,CityC,3632,948329
Suburb,CityD,3960,742924
Uptown,CityC,2423,375631
Uptown,CityB,1133,439528
Suburb,CityB,4603,555639
Downtown,CityE,1892,637443
Suburb,CityB,3946,373399
Seaside,CityC,3598,745148
Downtown,CityB,561,487740
Uptown,CityD,2969,514521
Suburb,CityB,2317,698831
Countryside,CityE,1132,135094
Countryside,CityB,3098,320638
Seaside,CityC,3951,526986
Countryside,CityC,1800,634022
Suburb,CityB,3153,827344
Suburb,CityC,1954,401749
Countryside,CityC,1638,177932
Suburb,CityE,3692,224109
Seaside,CityD,2710,652169
Downtown,CityE,4259,294473
Seaside,CityA,3529,664410
Seaside,CityE,1860,867915
Suburb,CityB,2926,921729
Downtown,CityD,4768,211513
Suburb,CityB,563,136680
Uptown,CityA,1845,183452
Suburb,CityD,1474,151044
Suburb,CityC,4661,799444
Suburb,CityE,4128,244582
Downtown,CityB,2122,452646
Suburb,CityA,957,646440
Downtown,CityC,3830,709026
Countryside,CityE,2240,257517
Uptown,CityC,3526,832048
Downtown,CityE,2454,564369
Countryside,CityD,779,494411
Downtown,CityC,2891,204533
Downtown,CityC,1540,815309
Uptown,CityC,1461,649721
Seaside,CityD,4345,289932
Seaside,CityA,1717,304685
Downtown,CityE,3720,148648
Suburb,CityC,874,294162
Countryside,CityD,4630,327993
Suburb,CityA,1892,666401
Suburb,CityE,2576,346602
Downtown,CityD,1274,989936
Downtown,CityE,4816,754719
Downtown,CityC,3924,798002
Downtown,CityA,2623,395206
Seaside,CityD,4093,433777
Downtown,CityA,779,665892
Seaside,CityC,3311,341201
Seaside,CityA,2842,762038
Downtown,CityA,1974,132121
Uptown,CityB,2357,749303
Countryside,CityA,3389,973372
Suburb,CityE,1559,564495
Seaside,CityD,2422,902926
Countryside,CityB,4299,799545
Uptown,CityD,2973,502894
Suburb,CityD,4639,268704
Suburb,CityC,2351,146235
Seaside,CityC,4041,232720
Downtown,CityB,1094,443357
Uptown,CityC,1006,607438
Seaside,CityC,520,581517
Uptown,CityC,1899,823277
Downtown,CityD,3701,640777
Downtown,CityB,2961,963713
Seaside,CityD,4178,470334
Downtown,CityE,836,486757
Countryside,CityD,2167,526365
Suburb,CityE,4076,530340
Seaside,CityA,1409,728510
Uptown,CityA,775,101316
Countryside,CityE,1391,160046
Seaside,CityE,512,965075
Downtown,CityD,4557,868475
Downtown,CityE,3525,983936
Downtown,CityB,1473,215594
Downtown,CityA,4770,688330
Uptown,CityA,4470,608566
Countryside,CityE,1908,752583
Suburb,CityC,2443,778462
Uptown,CityC,2788,885025
Uptown,CityE,1046,214430
Suburb,CityB,1718,862318
Suburb,CityC,1920,487926
Downtown,CityE,1954,506088
Uptown,CityB,3877,674382
Seaside,CityB,3272,934151
Suburb,CityD,4598,829245
Suburb,CityB,3238,745391
Countryside,CityC,4247,753114
Seaside,CityC,2342,936910
Seaside,CityE,1246,853523
Suburb,CityE,3316,143677
Downtown,CityB,1371,635872
Countryside,CityA,994,364250
Seaside,CityD,3944,506885
Suburb,CityA,1575,612703
Seaside,CityB,4494,125223
Countryside,CityB,4737,553882
Countryside,CityA,545,922138
Uptown,CityD,3556,561235
Suburb,CityA,2557,554801
Countryside,CityE,1163,520698
Uptown,CityC,2529,946801
Uptown,CityE,3196,789503
Seaside,CityC,1139,885977
Seaside,CityB,3163,255312
Uptown,CityD,3245,372159
Seaside,CityA,4902,968596
Countryside,CityD,3095,151500
Downtown,CityA,3927,950357
Countryside,CityE,894,453123
Uptown,CityE,4097,982787
Uptown,CityA,2832,835956
Countryside,CityD,829,324045
Seaside,CityA,2597,804991
Seaside,CityB,1272,819012
Uptown,CityE,2145,282159
Suburb,CityB,2232,310861
Seaside,CityE,4973,941341
Countryside,CityE,2287,897997
Seaside,CityC,2123,389741
Countryside,CityB,1499,324376
Uptown,CityB,2348,689911
Seaside,CityC,2061,502648
Countryside,CityD,1273,174300
Uptown,CityB,2303,616909
Suburb,CityA,1598,978269
Countryside,CityC,2550,149314
Suburb,CityB,2098,666253
Suburb,CityD,1247,983881
Downtown,CityB,4473,839628
Seaside,CityE,2822,430101
Countryside,CityA,2053,536931
Suburb,CityC,2115,284522
Downtown,CityE,4254,292974
Uptown,CityD,4924,390461
Countryside,CityE,2802,481335
Suburb,CityE,4721,428897
Seaside,CityD,4155,397386
Downtown,CityE,3895,232001
Suburb,CityC,716,468406
Seaside,CityB,3816,354268
Suburb,CityE,1859,986238
Countryside,CityC,4274,460868
Countryside,CityB,4777,637868
Countryside,CityB,4929,728422
Downtown,CityE,4978,982399
Countryside,CityC,2396,907174
Seaside,CityE,4927,117833
Suburb,CityD,1399,720709
Uptown,CityB,1141,695635
Seaside,CityE,4127,174155
Seaside,CityB,695,976223
Countryside,CityC,2393,845868
Downtown,CityA,3775,506743
Suburb,CityE,4550,551355
Downtown,CityE,2804,214527
Suburb,CityB,4100,329482
Suburb,CityC,3843,824945
Downtown,CityD,2556,665345
Seaside,CityC,3308,298511
Suburb,CityE,1724,615553
Downtown,CityD,1386,611474
Suburb,CityC,892,406405
Uptown,CityA,2175,826272
Seaside,CityB,3690,493258
Countryside,CityC,2946,647057
Suburb,CityC,4405,560329
Uptown,CityA,3838,308990
Countryside,CityE,4091,122449
Countryside,CityB,4266,239648
Suburb,CityC,3027,539090
Downtown,CityD,2681,570415
Suburb,CityC,4264,398489
Uptown,CityB,854,217926
Countryside,CityC,3131,869806
Suburb,CityA,2021,486720
Downtown,CityC,3172,955860
Suburb,CityC,3678,848008
Seaside,CityD,2837,104321
Downtown,CityA,1128,892208
Uptown,CityA,3179,378263
Countryside,CityC,4922,785929
Suburb,CityD,1938,620709
Downtown,CityC,1921,230078
Seaside,CityC,1626,793956
Downtown,CityB,3183,415111
Seaside,CityB,2280,788423
Uptown,CityD,2031,962155
Countryside,CityE,2414,286502
Uptown,CityB,1732,212620
Suburb,CityE,2456,499884
Downtown,CityA,892,705168
Seaside,CityB,1325,108195
Seaside,CityB,3463,878985
Downtown,CityD,2895,726946
Downtown,CityE,4645,157995
Suburb,CityB,2292,230112
Uptown,CityB,3564,843194
Seaside,CityD,1863,138250
Suburb,CityD,2848,882129
Uptown,CityE,4051,115376
Suburb,CityA,4128,856935
Seaside,CityA,3836,811199
Downtown,CityC,2065,951155
Downtown,CityB,4167,667730
Uptown,CityE,2713,629680
Countryside,CityB,4596,608193
Uptown,CityE,1519,616898
Countryside,CityE,1784,782466
Suburb,CityE,562,573061
Suburb,CityB,3030,124809
Seaside,CityD,3892,215095
Countryside,CityB,3772,756053
Seaside,CityE,2769,723761
Downtown,CityC,4747,194769
Countryside,CityA,1143,567375
Uptown,CityE,716,599302
Downtown,CityC,695,605376
Downtown,CityD,4364,698998
Uptown,CityE,3773,897784
Downtown,CityC,3194,283268
Countryside,CityE,3712,302138
Seaside,CityB,3255,760352
Downtown,CityC,2021,153076
Countryside,CityB,1580,385498
Suburb,CityB,1221,758672
Countryside,CityC,2062,407977
Seaside,CityA,1139,628606
Countryside,CityC,4760,736651
Uptown,CityA,4810,462136
Seaside,CityE,4287,952435
Suburb,CityE,4236,258264
Uptown,CityC,589,994273
Countryside,CityE,3421,200726
Seaside,CityD,1751,189199
Suburb,CityB,1602,481339
Uptown,CityB,848,268561
Suburb,CityA,4413,351131
Countryside,CityE,4552,469651
Suburb,CityA,3441,994605
Downtown,CityB,745,652561
Uptown,CityB,771,802913
Suburb,CityE,2530,653761
Countryside,CityD,4998,685698
Countryside,CityD,3687,752824
Suburb,CityE,4006,506895
Countryside,CityE,1965,455125
Seaside,CityA,1695,145310
Seaside,CityE,3587,707694
Seaside,CityD,3508,291755
Downtown,CityE,4323,474909
Suburb,CityA,2114,388136
Downtown,CityA,1626,129433
Countryside,CityA,4879,569790
Downtown,CityA,1016,912365
Countryside,CityC,3165,814095
Countryside,CityE,1801,765130
Uptown,CityB,1111,431429
Seaside,CityE,1249,996553
Countryside,CityC,2356,484891
Uptown,CityA,899,528487
Seaside,CityC,2026,304463
Countryside,CityD,2524,998114
